,current,previous,points,trend,id,uid,guid,firstName,lastName,displayName,shortname,links,country,countryFlag,picture,age,active,birthPlace,citizenshipCountry
94,95,106,586,+11,233,s:850~a:233,a4bcc46a-7cf5-7bd5-5c1a-52faf33e3aa5,Ivo,Karlovic,Ivo Karlovic,,https://www.espn.com/tennis/player/_/id/233/ivo-karlovic,Croatia,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,https://a.espncdn.com/i/headshots/tennis/players/full/233.png,45,,"Zagreb, Croatia",CRO
95,96,98,586,+2,3187,s:850~a:3187,dc13f19e-d7b7-760c-67d6-b654c73d155b,Salvatore,Caruso,Salvatore Caruso,,https://www.espn.com/tennis/player/_/id/3187/salvatore-caruso,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,,32,True,"Avola, Italy",ITA
96,97,99,585,+2,2862,s:850~a:2862,fef6ef70-ea4d-7d84-0e33-ed6c267b238c,Alexei,Popyrin,Alexei Popyrin,,https://www.espn.com/tennis/player/_/id/2862/alexei-popyrin,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2862.png,25,True,"Sydney, Australia",AUS
97,98,100,581,+2,2488,s:850~a:2488,6fe2d368-0830-0e4f-e8b7-a78466d31839,Egor,Gerasimov,Egor Gerasimov,,https://www.espn.com/tennis/player/_/id/2488/egor-gerasimov,Belarus,https://a.espncdn.com/i/teamlogos/countries/500/blr.png,,32,True,"Minsk, Belarus",BLR
98,99,101,576,+2,2863,s:850~a:2863,d0a3202e-992e-a9b5-a42d-d3effc9a639a,Lloyd,Harris,Lloyd Harris,,https://www.espn.com/tennis/player/_/id/2863/lloyd-harris,South Africa,https://a.espncdn.com/i/teamlogos/countries/500/rsa.png,https://a.espncdn.com/i/headshots/tennis/players/full/2863.png,27,True,"Cape Town, South Africa",RSA
99,100,111,576,+11,1857,s:850~a:1857,cd9ba86b-c611-51a5-7396-2cce4ff52ce1,James,Duckworth,James Duckworth,,https://www.espn.com/tennis/player/_/id/1857/james-duckworth,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,,32,True,"Sydney, Australia",AUS
100,101,91,575,-10,2416,s:850~a:2416,de42df24-25c0-ecc9-8dce-5493cf51417b,Kamil,Majchrzak,Kamil Majchrzak,,https://www.espn.com/tennis/player/_/id/2416/kamil-majchrzak,Poland,https://a.espncdn.com/i/teamlogos/countries/500/pol.png,https://a.espncdn.com/i/headshots/tennis/players/full/2416.png,29,True,"Piotrkow Trybunalski, Poland",POL
101,102,123,574,+21,1993,s:850~a:1993,9ac694cc-6c55-af11-ecd7-8334117296c1,Marcos,Giron,Marcos Giron,,https://www.espn.com/tennis/player/_/id/1993/marcos-giron,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/1993.png,31,True,"Thousand Oaks, CA, USA",USA
102,103,94,563,-9,2790,s:850~a:2790,8657bba4-9ed7-de68-aa6b-fb17b2a85153,Brayden,Schnur,Brayden Schnur,,https://www.espn.com/tennis/player/_/id/2790/brayden-schnur,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,,29,True,"Toronto, Canada",CAN
103,104,102,561,-2,1483,s:850~a:1483,4e9f79a4-b504-0650-dfe7-07f715efa5c8,Yuichi,Sugita,Yuichi Sugita,,https://www.espn.com/tennis/player/_/id/1483/yuichi-sugita,Japan,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,,36,,"Sendai, Japan",JPN
104,105,103,550,-2,363,s:850~a:363,2499f2a3-bfab-5164-6bb9-48077ceab62e,Tomas,Berdych,Tomas Berdych,,https://www.espn.com/tennis/player/_/id/363/tomas-berdych,Czechia,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,https://a.espncdn.com/i/headshots/tennis/players/full/363.png,39,,"Valasske Mezirici, CZE",CZE
105,106,104,548,-2,2280,s:850~a:2280,caa14097-32fe-e85a-57f4-f0a9243ac927,Henri,Laaksonen,Henri Laaksonen,,https://www.espn.com/tennis/player/_/id/2280/henri-laaksonen,Switzerland,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,https://a.espncdn.com/i/headshots/tennis/players/full/2280.png,32,True,"Lohja, Finland",SUI
106,107,105,544,-2,1796,s:850~a:1796,34d69ecb-6ec9-bca5-7c93-ba741d62510a,Jiri,Vesely,Jiri Vesely,,https://www.espn.com/tennis/player/_/id/1796/jiri-vesely,Czechia,https://a.espncdn.com/i/teamlogos/countries/500/cze.png,https://a.espncdn.com/i/headshots/tennis/players/full/1796.png,31,True,"Pribram, Czechia",CZE
107,108,108,524,-,2024,s:850~a:2024,7af3f4b9-1d27-091d-4af2-b4cf6b4ad507,Dennis,Novak,Dennis Novak,,https://www.espn.com/tennis/player/_/id/2024/dennis-novak,Austria,https://a.espncdn.com/i/teamlogos/countries/500/aut.png,,31,True,"Wiener Neustadt, Austria",AUT
108,109,109,507,-,2694,s:850~a:2694,eb95c30a-1602-f0b1-2a55-413934e6a50b,Norbert,Gombos,Norbert Gombos,,https://www.espn.com/tennis/player/_/id/2694/norbert-gombos,Slovakia,https://a.espncdn.com/i/teamlogos/countries/500/svk.png,,34,True,"Galanta, Slovakia",SVK
109,110,110,506,-,869,s:850~a:869,88dc56b8-9386-8568-117e-3181263d31df,Andrej,Martin,Andrej Martin,,https://www.espn.com/tennis/player/_/id/869/andrej-martin,Slovakia,https://a.espncdn.com/i/teamlogos/countries/500/svk.png,,35,True,"Bratislava, Slovakia",SVK
110,111,112,501,+1,1837,s:850~a:1837,3e79a2a2-ca77-f862-1afd-d9099a248cac,Taro,Daniel,Taro Daniel,,https://www.espn.com/tennis/player/_/id/1837/taro-daniel,Japan,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,https://a.espncdn.com/i/headshots/tennis/players/full/1837.png,31,True,"New York, NY, USA",JPN
111,112,113,497,+1,698,s:850~a:698,cf48288a-21af-9d22-774d-55d7a313380f,Marcel,Granollers,Marcel Granollers,,https://www.espn.com/tennis/player/_/id/698/marcel-granollers,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/698.png,38,True,"Barcelona, Spain",ESP
112,113,114,497,+1,886,s:850~a:886,af31642c-5de2-38aa-111e-240eb83b53d7,Evgeny,Donskoy,Evgeny Donskoy,,https://www.espn.com/tennis/player/_/id/886/evgeny-donskoy,Russia,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,https://a.espncdn.com/i/headshots/tennis/players/full/886.png,34,True,"Moscow, Russia",RUS
113,114,115,491,+1,1629,s:850~a:1629,1c2668d6-af09-cfc8-f3f7-e7bb3d55d15f,Denis,Kudla,Denis Kudla,,https://www.espn.com/tennis/player/_/id/1629/denis-kudla,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/1629.png,32,True,"Kiev, Ukraine",USA
114,115,95,483,-20,2505,s:850~a:2505,018d765f-c57b-bcc8-8eb8-93f90a4c3d06,Prajnesh,Gunneswaran,Prajnesh Gunneswaran,,https://www.espn.com/tennis/player/_/id/2505/prajnesh-gunneswaran,India,https://a.espncdn.com/i/teamlogos/countries/500/ind.png,https://a.espncdn.com/i/headshots/tennis/players/full/2505.png,35,,"Chennai, India",IND
115,116,117,482,+1,851,s:850~a:851,73619de5-4057-4960-c994-b617464c13eb,Thomas,Fabbiano,Thomas Fabbiano,,https://www.espn.com/tennis/player/_/id/851/thomas-fabbiano,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/851.png,35,,"Grottaglie, Italy",ITA
116,117,124,478,+7,3513,s:850~a:3513,f765f5df-19de-09f7-183f-44ebcbe29a43,Antoine,Hoang,Antoine Hoang,,https://www.espn.com/tennis/player/_/id/3513/antoine-hoang,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/3513.png,29,True,"Hyeres, France",FRA
117,118,121,473,+3,1772,s:850~a:1772,f5306f00-0f66-ef5a-79ef-99d7646ca718,Peter,Gojowczyk,Peter Gojowczyk,,https://www.espn.com/tennis/player/_/id/1772/peter-gojowczyk,Germany,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,https://a.espncdn.com/i/headshots/tennis/players/full/1772.png,35,True,"Munich, Germany",GER
118,119,119,473,-,3325,s:850~a:3325,7dba916d-c0f8-64ce-d98d-951d30454f28,Gianluca,Mager,Gianluca Mager,,https://www.espn.com/tennis/player/_/id/3325/gianluca-mager,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,,30,True,"Sanremo, Italy",ITA
119,120,118,472,-2,712,s:850~a:712,225f1ff5-71c7-7df0-d988-9de3bd2484fb,Paolo,Lorenzi,Paolo Lorenzi,,https://www.espn.com/tennis/player/_/id/712/paolo-lorenzi,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,,43,,"Rome, Italy",ITA
120,121,128,470,+7,3301,s:850~a:3301,5961537b-c627-7dcb-5662-5abf3bc376ed,Christopher,O'Connell,Christopher O'Connell,,https://www.espn.com/tennis/player/_/id/3301/christopher-oconnell,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,,30,True,"Sydney, Australia",AUS
121,122,116,464,-6,1841,s:850~a:1841,a413850f-f32b-b2be-156c-8768bebcc823,Federico,Coria,Federico Coria,,https://www.espn.com/tennis/player/_/id/1841/federico-coria,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/1841.png,32,True,"Rosario, Argentina",ARG
122,123,120,461,-3,285,s:850~a:285,7812468a-8f6e-d61a-b5a9-53215260e071,Go,Soeda,Go Soeda,,https://www.espn.com/tennis/player/_/id/285/go-soeda,Japan,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,https://a.espncdn.com/i/headshots/tennis/players/full/285.png,40,,"Kanagawa, Japan",JPN
123,124,122,460,-2,284,s:850~a:284,86c45076-afcd-9347-9452-e451cff9b0d0,Juan Martin,del Potro,Juan Martin del Potro,,https://www.espn.com/tennis/player/_/id/284/juan-martin-del-potro,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/284.png,36,,"Tandil, Argentina",ARG
124,125,141,459,+16,3366,s:850~a:3366,57a1deeb-87c2-ef1e-6446-31023a5477de,Emil,Ruusuvuori,Emil Ruusuvuori,,https://www.espn.com/tennis/player/_/id/3366/emil-ruusuvuori,Finland,https://a.espncdn.com/i/teamlogos/countries/500/fin.png,https://a.espncdn.com/i/headshots/tennis/players/full/3366.png,25,True,"Helsinki, Finland",FIN
125,126,125,442,-1,235,s:850~a:235,1c5a586b-edce-71a2-50c2-e42bf12417c8,Andy,Murray,Andy Murray,,https://www.espn.com/tennis/player/_/id/235/andy-murray,Great Britain,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,https://a.espncdn.com/i/headshots/tennis/players/full/235.png,37,True,"Glasgow, Scotland",GBR
