,current,previous,points,trend,id,uid,guid,firstName,lastName,displayName,shortname,links,country,countryFlag,picture,age,active,birthPlace,citizenshipCountry
0,1,1,9985,-,261,s:850~a:261,f091e8bf-f001-4687-0448-4b009dd966e8,Rafael,Nadal,Rafael Nadal,,https://www.espn.com/tennis/player/_/id/261/rafael-nadal,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/261.png,38,True,"Manacor, Mallorca, Spain",ESP
1,2,2,9145,-,296,s:850~a:296,4a27bb1c-2422-55c3-208b-9e9d8c1f30af,Novak,Djokovic,Novak Djokovic,,https://www.espn.com/tennis/player/_/id/296/novak-djokovic,Serbia,https://a.espncdn.com/i/teamlogos/countries/500/ser.png,https://a.espncdn.com/i/headshots/tennis/players/full/296.png,37,True,"Belgrade, Serbia",SER
2,3,3,6590,-,425,s:850~a:425,6bf3e1d1-c102-93e9-a4e9-32ba6e82f887,Roger,Federer,Roger Federer,,https://www.espn.com/tennis/player/_/id/425/roger-federer,Switzerland,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,https://a.espncdn.com/i/headshots/tennis/players/full/425.png,43,,"Basel, Switzerland",SUI
3,4,5,5825,+1,1852,s:850~a:1852,7c04f23c-ca9b-1662-17bf-d4d0bd5d3b6a,Dominic,Thiem,Dominic Thiem,,https://www.espn.com/tennis/player/_/id/1852/dominic-thiem,Austria,https://a.espncdn.com/i/teamlogos/countries/500/aut.png,https://a.espncdn.com/i/headshots/tennis/players/full/1852.png,31,True,"Wiener Neustadt, Austria",AUT
4,5,4,5705,-1,2383,s:850~a:2383,469710ae-79d9-770e-e3b7-d71e5148642c,Daniil,Medvedev,Daniil Medvedev,,https://www.espn.com/tennis/player/_/id/2383/daniil-medvedev,Russia,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2383.png,28,True,"Moscow, Russia",RUS
5,6,6,5300,-,2869,s:850~a:2869,eeae43af-cdf0-43b4-7dd4-2475555a445e,Stefanos,Tsitsipas,Stefanos Tsitsipas,,https://www.espn.com/tennis/player/_/id/2869/stefanos-tsitsipas,Greece,https://a.espncdn.com/i/teamlogos/countries/500/gre.png,https://a.espncdn.com/i/headshots/tennis/players/full/2869.png,26,True,"Athens, Greece",GRE
6,7,7,3345,-,2375,s:850~a:2375,fd06b6ea-593b-d5b3-da2b-767ec3e4232c,Alexander,Zverev,Alexander Zverev,,https://www.espn.com/tennis/player/_/id/2375/alexander-zverev,Germany,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,https://a.espncdn.com/i/headshots/tennis/players/full/2375.png,27,True,"Hamburg, Germany",GER
7,8,8,2870,-,2622,s:850~a:2622,874554f7-7862-cfa9-36d5-5ef4d437f407,Matteo,Berrettini,Matteo Berrettini,,https://www.espn.com/tennis/player/_/id/2622/matteo-berrettini,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/2622.png,28,True,"Rome, Italy",ITA
8,9,9,2540,-,1733,s:850~a:1733,736f6af6-506c-e64f-9d0f-8f1138a5babf,Roberto,Bautista Agut,Roberto Bautista Agut,,https://www.espn.com/tennis/player/_/id/1733/roberto-bautista-agut,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/1733.png,36,True,"Castellon de la Plana, Spain",ESP
9,10,10,2530,-,242,s:850~a:242,2262b9be-52a3-4979-3e0c-722694ff682b,Gael,Monfils,Gael Monfils,,https://www.espn.com/tennis/player/_/id/242/gael-monfils,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/242.png,38,True,"Paris, France",FRA
10,11,11,2335,-,1360,s:850~a:1360,b84324ee-7bc9-cb44-95d0-b4221c8658d4,David,Goffin,David Goffin,,https://www.espn.com/tennis/player/_/id/1360/david-goffin,Belgium,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,https://a.espncdn.com/i/headshots/tennis/players/full/1360.png,34,True,"Rocourt, Belgium",BEL
11,12,12,2290,-,669,s:850~a:669,ae4751a6-c681-57f3-0c9a-8033a2faecea,Fabio,Fognini,Fabio Fognini,,https://www.espn.com/tennis/player/_/id/669/fabio-fognini,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/669.png,37,True,"Sanremo, Italy",ITA
12,13,13,2180,-,1035,s:850~a:1035,db1ab961-e027-44d0-b7b2-23a22b5611ce,Kei,Nishikori,Kei Nishikori,,https://www.espn.com/tennis/player/_/id/1035/kei-nishikori,Japan,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,https://a.espncdn.com/i/headshots/tennis/players/full/1035.png,35,True,"Shimane, Japan",JPN
13,14,14,2125,-,2324,s:850~a:2324,f4241bf7-ca09-b003-20e2-066a60941c9f,Diego,Schwartzman,Diego Schwartzman,,https://www.espn.com/tennis/player/_/id/2324/diego-schwartzman,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/2324.png,32,True,"Buenos Aires, Argentina",ARG
14,15,15,2050,-,2860,s:850~a:2860,2a61af8f-50be-3754-5559-d4fa60f9fb61,Denis,Shapovalov,Denis Shapovalov,,https://www.espn.com/tennis/player/_/id/2860/denis-shapovalov,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,https://a.espncdn.com/i/headshots/tennis/players/full/2860.png,25,True,"Tel Aviv, Israel",CAN
15,16,16,2000,-,264,s:850~a:264,c6eb21e5-8a25-0cb1-fc55-8315888ef262,Stan,Wawrinka,Stan Wawrinka,,https://www.espn.com/tennis/player/_/id/264/stan-wawrinka,Switzerland,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,https://a.espncdn.com/i/headshots/tennis/players/full/264.png,39,True,"Lausanne, Switzerland",SUI
16,17,17,1840,-,2367,s:850~a:2367,aae45cb6-e828-7434-5515-9c6d810ea14a,Karen,Khachanov,Karen Khachanov,,https://www.espn.com/tennis/player/_/id/2367/karen-khachanov,Russia,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2367.png,28,True,"Moscow, Russia",RUS
17,18,18,1775,-,2651,s:850~a:2651,b44d8a17-3923-7f78-455a-9c7ca03388f4,Alex,De Minaur,Alex De Minaur,,https://www.espn.com/tennis/player/_/id/2651/alex-de-minaur,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2651.png,25,True,"Sydney, Australia",AUS
18,19,19,1770,-,1023,s:850~a:1023,d026d5b8-9ac5-c0a9-f56c-f1b98531218d,John,Isner,John Isner,,https://www.espn.com/tennis/player/_/id/1023/john-isner,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/1023.png,39,True,"Greensboro, NC, USA",USA
19,20,20,1747,-,1287,s:850~a:1287,16641195-ec8b-a983-e046-3f768b99ff28,Grigor,Dimitrov,Grigor Dimitrov,,https://www.espn.com/tennis/player/_/id/1287/grigor-dimitrov,Bulgaria,https://a.espncdn.com/i/teamlogos/countries/500/bul.png,https://a.espncdn.com/i/headshots/tennis/players/full/1287.png,33,True,"Haskovo, Bulgaria",BUL
20,21,21,1636,-,3209,s:850~a:3209,103da403-af60-430e-014c-dc9c904d6b04,Felix,Auger-Aliassime,Felix Auger-Aliassime,,https://www.espn.com/tennis/player/_/id/3209/felix-auger-aliassime,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,https://a.espncdn.com/i/headshots/tennis/players/full/3209.png,24,True,"Montreal, Canada",CAN
21,22,22,1600,-,2322,s:850~a:2322,7a02e598-b12a-af7b-e25f-35a3a203a98e,Lucas,Pouille,Lucas Pouille,,https://www.espn.com/tennis/player/_/id/2322/lucas-pouille,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/2322.png,30,True,"Grande-Synthe, France",FRA
22,23,23,1584,-,2642,s:850~a:2642,9a0b09b5-59b7-1cf1-4135-e1cc55e3280b,Andrey,Rublev,Andrey Rublev,,https://www.espn.com/tennis/player/_/id/2642/andrey-rublev,Russia,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2642.png,27,True,"Moscow, Russia",RUS
23,24,24,1538,-,1571,s:850~a:1571,06f0264d-1de2-6bf4-ecbd-e4c80908f41b,Benoit,Paire,Benoit Paire,,https://www.espn.com/tennis/player/_/id/1571/benoit-paire,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/1571.png,35,True,"Avignon, France",FRA
24,25,25,1530,-,2291,s:850~a:2291,2e2dc3ed-f285-bae4-a612-e38e69c6c47a,Guido,Pella,Guido Pella,,https://www.espn.com/tennis/player/_/id/2291/guido-pella,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/2291.png,34,True,"Bahia Blanca, Argentina",ARG
25,26,26,1450,-,2498,s:850~a:2498,5dc21899-ba8c-2090-ba30-c0169a979977,Nikoloz,Basilashvili,Nikoloz Basilashvili,,https://www.espn.com/tennis/player/_/id/2498/nikoloz-basilashvili,Georgia,https://a.espncdn.com/i/teamlogos/countries/500/geo.png,https://a.espncdn.com/i/headshots/tennis/players/full/2498.png,32,True,"Tbilisi, Georgia",GEO
26,27,27,1422,-,1590,s:850~a:1590,7ba77580-4f3a-73fd-66f7-7354306769dd,Pablo,Carreno Busta,Pablo Carreno Busta,,https://www.espn.com/tennis/player/_/id/1590/pablo-carreno-busta,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/1590.png,33,True,"Gijon, Spain",ESP
27,28,28,1415,-,2202,s:850~a:2202,2f4ba4bb-2820-ad6f-6e14-dba4a7059e64,Borna,Coric,Borna Coric,,https://www.espn.com/tennis/player/_/id/2202/borna-coric,Croatia,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,https://a.espncdn.com/i/headshots/tennis/players/full/2202.png,28,True,"Zagreb, Croatia",CRO
28,29,29,1410,-,435,s:850~a:435,240b2e44-4629-ac19-a14e-d209255fbf4b,Jo-Wilfried,Tsonga,Jo-Wilfried Tsonga,,https://www.espn.com/tennis/player/_/id/435/jo-wilfried-tsonga,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/435.png,39,,"Le Mans, France",FRA
29,30,30,1395,-,1984,s:850~a:1984,38b6e398-769b-e1cd-aeb5-5f2ea7a815b1,Nick,Kyrgios,Nick Kyrgios,,https://www.espn.com/tennis/player/_/id/1984/nick-kyrgios,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,https://a.espncdn.com/i/headshots/tennis/players/full/1984.png,29,True,"Canberra, Australia",AUS
30,31,31,1350,-,1333,s:850~a:1333,293d445d-9e6b-8fd4-f9b9-1e888079eeb1,Milos,Raonic,Milos Raonic,,https://www.espn.com/tennis/player/_/id/1333/milos-raonic,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,https://a.espncdn.com/i/headshots/tennis/players/full/1333.png,34,True,"Podgorica, Montenegro",CAN
31,32,32,1315,-,2946,s:850~a:2946,6493155f-cacc-7aa5-ba78-d952efa4c652,Taylor,Fritz,Taylor Fritz,,https://www.espn.com/tennis/player/_/id/2946/taylor-fritz,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/2946.png,27,True,"Rancho Santa Fe, CA, USA",USA
32,33,34,1297,+1,2228,s:850~a:2228,17e6dabd-250b-7755-f4b2-8ef6b2972541,Cristian,Garin,Cristian Garin,,https://www.espn.com/tennis/player/_/id/2228/cristian-garin,Chile,https://a.espncdn.com/i/teamlogos/countries/500/chi.png,https://a.espncdn.com/i/headshots/tennis/players/full/2228.png,28,True,"Santiago, Chile",CHI
33,34,35,1296,+1,1769,s:850~a:1769,5178cb68-023e-aaeb-6559-6c1defcc9cc4,Dusan,Lajovic,Dusan Lajovic,,https://www.espn.com/tennis/player/_/id/1769/dusan-lajovic,Serbia,https://a.espncdn.com/i/teamlogos/countries/500/ser.png,https://a.espncdn.com/i/headshots/tennis/players/full/1769.png,34,True,"Belgrade, Serbia",SER
34,35,36,1245,+1,2337,s:850~a:2337,45266525-bbb6-988a-7671-e5e46567d682,Jan-Lennard,Struff,Jan-Lennard Struff,,https://www.espn.com/tennis/player/_/id/2337/jan-lennard-struff,Germany,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,https://a.espncdn.com/i/headshots/tennis/players/full/2337.png,34,True,"Warstein, Germany",GER
35,36,33,1243,-3,2952,s:850~a:2952,59785389-c37d-e25a-2d8d-2b92f427085e,Reilly,Opelka,Reilly Opelka,,https://www.espn.com/tennis/player/_/id/2952/reilly-opelka,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/2952.png,27,True,"St. Joseph, MI, USA",USA
36,37,37,1198,-,2726,s:850~a:2726,b018afb7-0203-6a56-8381-7cd6446635fd,Hubert,Hurkacz,Hubert Hurkacz,,https://www.espn.com/tennis/player/_/id/2726/hubert-hurkacz,Poland,https://a.espncdn.com/i/teamlogos/countries/500/pol.png,https://a.espncdn.com/i/headshots/tennis/players/full/2726.png,27,True,"Wroclaw, Poland",POL
37,38,38,1171,-,2365,s:850~a:2365,3c9bddf3-6988-ac3d-fbdd-f6fe6cee8d4c,Laslo,Djere,Laslo Djere,,https://www.espn.com/tennis/player/_/id/2365/laslo-djere,Serbia,https://a.espncdn.com/i/teamlogos/countries/500/ser.png,https://a.espncdn.com/i/headshots/tennis/players/full/2365.png,29,True,"Senta, Serbia",SER
38,39,39,1165,-,464,s:850~a:464,d24f948a-481d-75c9-9c3c-855364317760,Marin,Cilic,Marin Cilic,,https://www.espn.com/tennis/player/_/id/464/marin-cilic,Croatia,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,https://a.espncdn.com/i/headshots/tennis/players/full/464.png,36,True,"Medjugorje, Bosnia-Herzegovina",CRO
39,40,40,1148,-,1354,s:850~a:1354,1ce1a583-4efb-41b5-09ff-811200629fd9,Filip,Krajinovic,Filip Krajinovic,,https://www.espn.com/tennis/player/_/id/1354/filip-krajinovic,Serbia,https://a.espncdn.com/i/teamlogos/countries/500/ser.png,https://a.espncdn.com/i/headshots/tennis/players/full/1354.png,32,True,"Sombor, Serbia",SER
40,41,41,1130,-,1766,s:850~a:1766,e713cfae-dbd0-9c33-6187-767fe449b993,Albert,Ramos-Vinolas,Albert Ramos-Vinolas,,https://www.espn.com/tennis/player/_/id/1766/albert-ramos-vinolas,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/1766.png,37,True,"Barcelona, Spain",ESP
41,42,42,1124,-,901,s:850~a:901,6dcf2b92-2f6d-6d5b-8deb-bd296fe4521e,Daniel,Evans,Daniel Evans,,https://www.espn.com/tennis/player/_/id/901/daniel-evans,Great Britain,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,https://a.espncdn.com/i/headshots/tennis/players/full/901.png,34,True,"Birmingham, England",GBR
42,43,43,1111,-,1266,s:850~a:1266,dbc865c9-ab39-49ff-dbb3-895a876665d3,Adrian,Mannarino,Adrian Mannarino,,https://www.espn.com/tennis/player/_/id/1266/adrian-mannarino,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/1266.png,36,True,"Soisy-sous-Montmorency, France",FRA
43,44,44,1100,-,428,s:850~a:428,3ea222c7-2bb0-455a-193e-e20bd4c42f38,Sam,Querrey,Sam Querrey,,https://www.espn.com/tennis/player/_/id/428/sam-querrey,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/428.png,37,,"San Francisco, CA, USA",USA
44,45,45,1097,-,795,s:850~a:795,6895f3f4-a4dd-b930-3f82-c655c74c7bff,Pablo,Cuevas,Pablo Cuevas,,https://www.espn.com/tennis/player/_/id/795/pablo-cuevas,Uruguay,https://a.espncdn.com/i/teamlogos/countries/500/uru.png,https://a.espncdn.com/i/headshots/tennis/players/full/795.png,39,True,"Concordia, Argentina",URU
45,46,46,1067,-,884,s:850~a:884,85332a2d-c061-d426-c672-0f9ee7f1be79,Radu,Albot,Radu Albot,,https://www.espn.com/tennis/player/_/id/884/radu-albot,Moldova,https://a.espncdn.com/i/teamlogos/countries/500/mda.png,https://a.espncdn.com/i/headshots/tennis/players/full/884.png,35,True,"Chisinau, Moldova",MDA
46,47,47,1050,-,2708,s:850~a:2708,f901758a-d8f2-442c-9cd3-44513fcbf31e,Frances,Tiafoe,Frances Tiafoe,,https://www.espn.com/tennis/player/_/id/2708/frances-tiafoe,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/2708.png,27,True,"Hyattsville, MD, USA",USA
47,48,48,1026,-,1734,s:850~a:1734,0d2be4fd-f81e-9980-8b86-9e360faed32d,John,Millman,John Millman,,https://www.espn.com/tennis/player/_/id/1734/john-millman,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,https://a.espncdn.com/i/headshots/tennis/players/full/1734.png,35,True,"Brisbane, Australia",AUS
48,49,49,1025,-,366,s:850~a:366,41a7882f-3d9f-db75-a239-f277594cbe87,Fernando,Verdasco,Fernando Verdasco,,https://www.espn.com/tennis/player/_/id/366/fernando-verdasco,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,,41,True,"Madrid, Spain",ESP
49,50,50,1017,-,2460,s:850~a:2460,65e6c615-2c17-40ec-6e25-c5fb7e759bca,Juan Ignacio,Londero,Juan Ignacio Londero,,https://www.espn.com/tennis/player/_/id/2460/juan-ignacio-londero,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,,31,True,"Jesus Maria, Argentina",ARG
50,51,51,990,-,627,s:850~a:627,d7d85c63-2c31-7bc9-4276-2e30e1d45cac,Jeremy,Chardy,Jeremy Chardy,,https://www.espn.com/tennis/player/_/id/627/jeremy-chardy,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/627.png,37,True,"Pau, France",FRA
51,52,52,990,-,3052,s:850~a:3052,687223c9-e8fb-7106-54b2-0bd2f9697146,Lorenzo,Sonego,Lorenzo Sonego,,https://www.espn.com/tennis/player/_/id/3052/lorenzo-sonego,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/3052.png,29,True,"Turin, Italy",ITA
52,53,53,975,-,2366,s:850~a:2366,f868201c-172e-90a1-b93f-0552e29bbc71,Cameron,Norrie,Cameron Norrie,,https://www.espn.com/tennis/player/_/id/2366/cameron-norrie,Great Britain,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,https://a.espncdn.com/i/headshots/tennis/players/full/2366.png,29,True,"Johannesburg, South Africa",GBR
53,54,54,972,-,3085,s:850~a:3085,75e39239-2578-cc45-a536-6a59ddee1f9a,Ugo,Humbert,Ugo Humbert,,https://www.espn.com/tennis/player/_/id/3085/ugo-humbert,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/3085.png,26,True,"Metz, France",FRA
54,55,55,956,-,2989,s:850~a:2989,116ef01e-3239-e44f-9c8a-022f81012782,Casper,Ruud,Casper Ruud,,https://www.espn.com/tennis/player/_/id/2989/casper-ruud,Norway,https://a.espncdn.com/i/teamlogos/countries/500/nor.png,https://a.espncdn.com/i/headshots/tennis/players/full/2989.png,26,True,"Oslo, Norway",NOR
55,56,56,955,-,302,s:850~a:302,4710a849-df23-85ea-8a38-46445af0eeae,Gilles,Simon,Gilles Simon,,https://www.espn.com/tennis/player/_/id/302/gilles-simon,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/302.png,40,,"Nice, France",FRA
56,57,58,919,+1,2865,s:850~a:2865,60870ae1-bd80-2afa-54ea-e8b8a5d5fd7e,Alexander,Bublik,Alexander Bublik,,https://www.espn.com/tennis/player/_/id/2865/alexander-bublik,Kazakhstan,https://a.espncdn.com/i/teamlogos/countries/500/kaz.png,https://a.espncdn.com/i/headshots/tennis/players/full/2865.png,27,True,"Gatchina, Russia",KAZ
57,58,59,905,+1,903,s:850~a:903,52492f70-b78c-59b6-bfbd-c3c1cb132bfa,Aljaz,Bedene,Aljaz Bedene,,https://www.espn.com/tennis/player/_/id/903/aljaz-bedene,Slovenia,https://a.espncdn.com/i/teamlogos/countries/500/slo.png,https://a.espncdn.com/i/headshots/tennis/players/full/903.png,35,True,"Ljubljana, Slovenia",SLO
58,59,60,901,+1,2874,s:850~a:2874,6972f310-caca-a4fc-3e06-78b5cefa7387,Miomir,Kecmanovic,Miomir Kecmanovic,,https://www.espn.com/tennis/player/_/id/2874/miomir-kecmanovic,Serbia,https://a.espncdn.com/i/teamlogos/countries/500/ser.png,https://a.espncdn.com/i/headshots/tennis/players/full/2874.png,25,True,"Belgrade, Serbia",SER
59,60,61,891,+1,2109,s:850~a:2109,bd2926e4-d933-3d66-00d6-beff1663bc71,João,Sousa,João Sousa,,https://www.espn.com/tennis/player/_/id/2109/joao-sousa,Portugal,https://a.espncdn.com/i/teamlogos/countries/500/por.png,https://a.espncdn.com/i/headshots/tennis/players/full/2109.png,35,True,"Guimaraes, Portugal",POR
60,61,62,890,+1,310,s:850~a:310,0e5e3f30-af41-9a81-4b3e-867f383cc8a9,Richard,Gasquet,Richard Gasquet,,https://www.espn.com/tennis/player/_/id/310/richard-gasquet,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/310.png,38,True,"Beziers, France",FRA
61,62,63,888,+1,426,s:850~a:426,b3b74402-dca8-b1c1-62f5-c476ea746a46,Feliciano,Lopez,Feliciano Lopez,,https://www.espn.com/tennis/player/_/id/426/feliciano-lopez,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/426.png,43,True,"Toledo, Spain",ESP
62,63,64,878,+1,2244,s:850~a:2244,59e7e630-cbbe-b092-10d4-037ee43ca658,Jordan,Thompson,Jordan Thompson,,https://www.espn.com/tennis/player/_/id/2244/jordan-thompson,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2244.png,30,True,"Sydney, Australia",AUS
63,64,57,867,-7,620,s:850~a:620,2fa2e54c-1ff7-72ac-45b3-a254b1d3b058,Pablo,Andujar,Pablo Andujar,,https://www.espn.com/tennis/player/_/id/620/pablo-andujar,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/620.png,38,True,"Cuenca, Spain",ESP
64,65,65,865,-,1613,s:850~a:1613,8ca87ada-8709-c82f-7294-510f00cd8c6f,Pierre-Hugues,Herbert,Pierre-Hugues Herbert,,https://www.espn.com/tennis/player/_/id/1613/pierre-hugues-herbert,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/1613.png,33,True,"Schiltigheim, France",FRA
65,66,66,836,-,861,s:850~a:861,23791e86-ba3c-cbe7-419d-e1ed4bc48396,Ricardas,Berankis,Ricardas Berankis,,https://www.espn.com/tennis/player/_/id/861/ricardas-berankis,Lithuania,https://a.espncdn.com/i/teamlogos/countries/500/ltu.png,https://a.espncdn.com/i/headshots/tennis/players/full/861.png,34,True,"Vilnius, Lithuania",LTU
66,67,67,816,-,1141,s:850~a:1141,8fb503f3-a393-db18-4dd3-40741fa86609,Mikhail,Kukushkin,Mikhail Kukushkin,,https://www.espn.com/tennis/player/_/id/1141/mikhail-kukushkin,Kazakhstan,https://a.espncdn.com/i/teamlogos/countries/500/kaz.png,https://a.espncdn.com/i/headshots/tennis/players/full/1141.png,37,True,"Volgograd, Russia",KAZ
67,68,70,803,+2,1602,s:850~a:1602,4a7f693d-4774-bb98-c352-4c96b0c11e77,Tennys,Sandgren,Tennys Sandgren,,https://www.espn.com/tennis/player/_/id/1602/tennys-sandgren,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/1602.png,33,True,"Gallatin, TN, USA",USA
68,69,68,800,-1,1858,s:850~a:1858,f5bdb641-ed37-5d98-01a7-62d7390480b4,Kyle,Edmund,Kyle Edmund,,https://www.espn.com/tennis/player/_/id/1858/kyle-edmund,Great Britain,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,https://a.espncdn.com/i/headshots/tennis/players/full/1858.png,30,True,"Johannesburg, South Africa",GBR
69,70,71,790,+1,1862,s:850~a:1862,d7f6875d-5e5a-1553-7f01-71e71b4a0e97,Marton,Fucsovics,Marton Fucsovics,,https://www.espn.com/tennis/player/_/id/1862/marton-fucsovics,Hungary,https://a.espncdn.com/i/teamlogos/countries/500/hun.png,https://a.espncdn.com/i/headshots/tennis/players/full/1862.png,32,True,"Nyiregyhaza, Hungary",HUN
70,71,72,780,+1,1840,s:850~a:1840,92b4c700-318d-9f65-c7b3-04aa04f01ca2,Marco,Cecchinato,Marco Cecchinato,,https://www.espn.com/tennis/player/_/id/1840/marco-cecchinato,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/1840.png,32,True,"Palermo, Italy",ITA
71,72,73,776,+1,241,s:850~a:241,9291909a-7f1c-0828-387d-03d074201e34,Andreas,Seppi,Andreas Seppi,,https://www.espn.com/tennis/player/_/id/241/andreas-seppi,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/241.png,40,,"Bolzano, Italy",ITA
72,73,69,764,-4,2226,s:850~a:2226,0f1cf96a-d45b-a0c1-4cf3-4c41b4b0c33c,Yoshihito,Nishioka,Yoshihito Nishioka,,https://www.espn.com/tennis/player/_/id/2226/yoshihito-nishioka,Japan,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,https://a.espncdn.com/i/headshots/tennis/players/full/2226.png,29,True,"Mie, Japan",JPN
73,74,74,763,-,2884,s:850~a:2884,ac264947-c5da-c4d5-5567-d8c2bffd6d9f,Mikael,Ymer,Mikael Ymer,,https://www.espn.com/tennis/player/_/id/2884/mikael-ymer,Sweden,https://a.espncdn.com/i/teamlogos/countries/500/swe.png,,26,True,"Skovde, Sweden",SWE
74,75,75,743,-,1849,s:850~a:1849,ba901aa2-1cf3-6cfe-6626-9d17bb77d8f9,Hugo,Dellien,Hugo Dellien,,https://www.espn.com/tennis/player/_/id/1849/hugo-dellien,Bolivia,https://a.espncdn.com/i/teamlogos/countries/500/bol.png,,31,True,"Trinidad, Bolivia",BOL
75,76,76,732,-,1705,s:850~a:1705,c71dbcf7-703d-faff-9358-cc487099e5ca,Federico,Delbonis,Federico Delbonis,,https://www.espn.com/tennis/player/_/id/1705/federico-delbonis,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/1705.png,34,True,"Azul, Argentina",ARG
